95466	78	71	12	4	694	141	1112	0.375	
97521	78	71	11	3	708	155	1104	0.25	
97796	78	71	10	3	769	154	1093	0.25	
106078	83	52	9	3	761	186	1127	0.16666666666666663	
110571	61	55	8	4	694	147	1233	0.25	
110290	111	51	7	3	783	180	1160	0.16666666666666663	
114142	111	36	6	3	791	180	1202	0.16666666666666663	
119427	73	71	5	4	801	178	1243	0.1875	
119687	111	15	4	3	852	185	1205	0.08333333333333337	
124610	111	100	3	4	859	185	1266	0.25	
129741	124	84	2	4	961	163	1292	0.1875	
138863	132	44	1	4	1006	160	1262	0.0	
143908	132	133	0	5	1014	160	1274	0.15000000000000002	
