149856	93	163	4	9	659	155	1298	0.1717171717171717	
146072	22	155	6	9	528	129	1389	0.16161616161616163	
147321	22	160	6	9	506	139	1430	0.1515151515151515	
147923	22	155	6	11	505	132	1414	0.14876033057851237	
155822	22	160	5	10	517	146	1455	0.14545454545454545	
158635	22	161	6	12	509	119	1410	0.13636363636363635	
140887	15	156	5	7	517	155	1364	0.2077922077922078	
149856	15	156	4	8	518	163	1416	0.18181818181818182	
149198	22	161	7	11	503	128	1378	0.14049586776859505	
145444	40	171	9	11	485	135	1339	0.1322314049586777	
