328.2975	21.9	118619	11	121	15	6	685	78	926	0.21212121212121213	
346.2375	21.05	121395	7	164	13	7	692	93	1011	0.2077922077922078	
358.2725	20.950000000000003	126509	5	160	14	8	646	76	966	0.1590909090909091	
366.84250000000003	20.700000000000003	129537	6	164	13	8	634	84	1123	0.17045454545454544	
399.095	17.9	143038	6	156	10	10	652	109	1162	0.17272727272727273	
310.54	44.349999999999994	107516	67	162	16	5	774	100	919	0.2545454545454545	
311.315	30.85	107926	31	160	15	6	746	93	967	0.21212121212121213	
325.785	22.5	121514	32	82	9	6	716	160	1051	0.28787878787878785	
303.6125	77.25	106845	164	141	16	5	826	92	888	0.36363636363636365	
308.63	72.1	114752	167	81	12	6	890	129	893	0.3181818181818182	
310.9925	34.5	112797	44	110	17	6	558	99	919	0.1818181818181818	
312.435	23.450000000000003	117574	25	70	14	4	566	119	1043	0.22727272727272727	
368.27	18.15	140508	20	63	10	5	653	104	1062	0.21818181818181817	
391.44	17.95	143576	11	122	10	8	538	104	1123	0.17045454545454544	
403.6275	16.65	148051	11	128	8	6	606	106	1175	0.21212121212121213	
