82706.0	132536.0	126176	196	97	6	4	863	133	1296	0.25	
98204.0	130486.0	125664	112	97	8	4	950	132	883	0.0625	
105736.0	128165.0	122998	81	74	10	4	869	123	754	0.1875	
130742.0	127958.0	118059	143	146	16	7	642	101	947	0.5	
44162.0	164655.33333333334	153413	18	135	1	9	733	111	1389	0.4722222222222222	
47450.0	162595.7142857143	152646	79	136	0	7	896	155	1332	0.4642857142857143	
47664.0	149866.0	140905	64	132	0	6	898	177	1277	0.41666666666666663	
47852.0	149549.0	140598	64	132	0	6	902	176	1267	0.41666666666666663	
53500.0	141249.0	133722	64	98	1	5	894	180	1251	0.35	
56492.0	140959.0	133122	64	72	2	5	836	171	1273	0.44999999999999996	
66234.0	136733.0	130455	92	98	3	4	905	172	1202	0.25	
68744.0	136332.0	128538	59	127	4	5	843	167	1170	0.35	
69234.0	133415.0	127783	124	77	3	4	967	137	1183	0.1875	
82286.0	133160.0	127150	100	81	6	4	875	128	1138	0.25	
84698.0	131849.0	125926	118	109	6	4	917	139	1090	0.1875	
